omschrijving;mld_dat;Aantal
Haaglanden                    ;21/11/2020;1
Kempenland                    ;21/11/2020;6
Midden Limburg                ;21/11/2020;6
Midden Nederland              ;21/11/2020;8
Nijmegen                      ;21/11/2020;4
NOORD                         ;21/11/2020;2
Ondernemersgebied             ;21/11/2020;9
Oost Brabant                  ;21/11/2020;2
Rotterdam                     ;21/11/2020;8
Tilburg                       ;21/11/2020;4
Twente/Achterhoek             ;21/11/2020;3
Veluwe-IJssel                 ;21/11/2020;4
West Brabant/Zeeland          ;21/11/2020;4
Zuid Limburg                  ;21/11/2020;3
Arnhem                        ;20/11/2020;5
Breda                         ;20/11/2020;7
Den Bosch                     ;20/11/2020;5
Eindhoven                     ;20/11/2020;8
Haaglanden                    ;20/11/2020;6
Kempenland                    ;20/11/2020;2
Midden Limburg                ;20/11/2020;4
Midden Nederland              ;20/11/2020;4
Nijmegen                      ;20/11/2020;2
NOORD                         ;20/11/2020;2
Ondernemersgebied             ;20/11/2020;10
Oost Brabant                  ;20/11/2020;7
Rotterdam                     ;20/11/2020;1
Tilburg                       ;20/11/2020;7
Twente/Achterhoek             ;20/11/2020;10
Veluwe-IJssel                 ;20/11/2020;1
West Brabant/Zeeland          ;20/11/2020;3
Zuid Limburg                  ;20/11/2020;6
Arnhem                        ;19/11/2020;2
Breda                         ;19/11/2020;8
Den Bosch                     ;19/11/2020;1
Eindhoven                     ;19/11/2020;10
Haaglanden                    ;19/11/2020;3
Kempenland                    ;19/11/2020;7
Midden Limburg                ;19/11/2020;4
Midden Nederland              ;19/11/2020;3
Nijmegen                      ;19/11/2020;2
NOORD                         ;19/11/2020;4
Ondernemersgebied             ;19/11/2020;13
Oost Brabant                  ;19/11/2020;4
Rotterdam                     ;19/11/2020;7
Tilburg                       ;19/11/2020;6
Twente/Achterhoek             ;19/11/2020;2
Veluwe-IJssel                 ;19/11/2020;3
West Brabant/Zeeland          ;19/11/2020;3
Zuid Limburg                  ;19/11/2020;5
Arnhem                        ;18/11/2020;4
Breda                         ;18/11/2020;2
Den Bosch                     ;18/11/2020;5
Eindhoven                     ;18/11/2020;5
Haaglanden                    ;18/11/2020;2
Kempenland                    ;18/11/2020;3
Midden Limburg                ;18/11/2020;3
Midden Nederland              ;18/11/2020;9
Nijmegen                      ;18/11/2020;4
NOORD                         ;18/11/2020;1
Ondernemersgebied             ;18/11/2020;10
Oost Brabant                  ;18/11/2020;6
Rotterdam                     ;18/11/2020;5
Tilburg                       ;18/11/2020;3
Twente/Achterhoek             ;18/11/2020;4
West Brabant/Zeeland          ;18/11/2020;3
Zuid Limburg                  ;18/11/2020;3
Arnhem                        ;17/11/2020;4
Breda                         ;17/11/2020;4
Den Bosch                     ;17/11/2020;3
Eindhoven                     ;17/11/2020;6
Haaglanden                    ;17/11/2020;3
Kempenland                    ;17/11/2020;3
Midden Limburg                ;17/11/2020;6
Midden Nederland              ;17/11/2020;14
Nijmegen                      ;17/11/2020;6
NOORD                         ;17/11/2020;4
Ondernemersgebied             ;17/11/2020;10
Oost Brabant                  ;17/11/2020;3
Rotterdam                     ;17/11/2020;6
Tilburg                       ;17/11/2020;4
Twente/Achterhoek             ;17/11/2020;4
Veluwe-IJssel                 ;17/11/2020;1
West Brabant/Zeeland          ;17/11/2020;4
Zuid Limburg                  ;17/11/2020;4
Arnhem                        ;16/11/2020;6
Breda                         ;16/11/2020;8
Den Bosch                     ;16/11/2020;1
Eindhoven                     ;16/11/2020;9
Haaglanden                    ;16/11/2020;3
Kempenland                    ;16/11/2020;4
Midden Limburg                ;16/11/2020;8
Midden Nederland              ;16/11/2020;2
Nijmegen                      ;16/11/2020;5
NOORD                         ;16/11/2020;6
Ondernemersgebied             ;16/11/2020;4
Oost Brabant                  ;16/11/2020;5
Rotterdam                     ;16/11/2020;8
Tilburg                       ;16/11/2020;7
Twente/Achterhoek             ;16/11/2020;3
West Brabant/Zeeland          ;16/11/2020;5
Zuid Limburg                  ;16/11/2020;6
Arnhem                        ;15/11/2020;5
Breda                         ;15/11/2020;6
Den Bosch                     ;15/11/2020;4
Eindhoven                     ;15/11/2020;7
Haaglanden                    ;15/11/2020;4
Kempenland                    ;15/11/2020;2
Midden Limburg                ;15/11/2020;1
Midden Nederland              ;15/11/2020;8
Nijmegen                      ;15/11/2020;6
NOORD                         ;15/11/2020;1
Ondernemersgebied             ;15/11/2020;11
Oost Brabant                  ;15/11/2020;9
Rotterdam                     ;15/11/2020;2
Tilburg                       ;15/11/2020;11
Twente/Achterhoek             ;15/11/2020;5
Veluwe-IJssel                 ;15/11/2020;2
West Brabant/Zeeland          ;15/11/2020;2
Zuid Limburg                  ;15/11/2020;6
Arnhem                        ;14/11/2020;3
Breda                         ;14/11/2020;3
Den Bosch                     ;14/11/2020;3
Eindhoven                     ;14/11/2020;4
Haaglanden                    ;14/11/2020;2
Kempenland                    ;14/11/2020;2
Midden Limburg                ;14/11/2020;3
Midden Nederland              ;14/11/2020;6
Nijmegen                      ;14/11/2020;10
NOORD                         ;14/11/2020;2
Ondernemersgebied             ;14/11/2020;8
Oost Brabant                  ;14/11/2020;4
Rotterdam                     ;14/11/2020;6
Tilburg                       ;14/11/2020;12
Twente/Achterhoek             ;14/11/2020;5
Veluwe-IJssel                 ;14/11/2020;2
West Brabant/Zeeland          ;14/11/2020;7
Zuid Limburg                  ;14/11/2020;7
Arnhem                        ;13/11/2020;4
Breda                         ;13/11/2020;6
Den Bosch                     ;13/11/2020;6
Eindhoven                     ;13/11/2020;6
Haaglanden                    ;13/11/2020;6
Kempenland                    ;13/11/2020;6
Midden Limburg                ;13/11/2020;4
Midden Nederland              ;13/11/2020;3
Nijmegen                      ;13/11/2020;7
NOORD                         ;13/11/2020;1
Ondernemersgebied             ;13/11/2020;10
Oost Brabant                  ;13/11/2020;5
Rotterdam                     ;13/11/2020;2
Tilburg                       ;13/11/2020;5
Twente/Achterhoek             ;13/11/2020;7
Veluwe-IJssel                 ;13/11/2020;1
West Brabant/Zeeland          ;13/11/2020;7
Zuid Limburg                  ;13/11/2020;3
Arnhem                        ;12/11/2020;8
Breda                         ;12/11/2020;5
Den Bosch                     ;12/11/2020;6
Eindhoven                     ;12/11/2020;3
Haaglanden                    ;12/11/2020;3
Kempenland                    ;12/11/2020;4
Midden Limburg                ;12/11/2020;5
Midden Nederland              ;12/11/2020;6
Nijmegen                      ;12/11/2020;3
NOORD                         ;12/11/2020;3
Ondernemersgebied             ;12/11/2020;9
Oost Brabant                  ;12/11/2020;5
Rotterdam                     ;12/11/2020;3
Tilburg                       ;12/11/2020;1
Twente/Achterhoek             ;12/11/2020;6
Veluwe-IJssel                 ;12/11/2020;1
West Brabant/Zeeland          ;12/11/2020;7
Zuid Limburg                  ;12/11/2020;8
Arnhem                        ;11/11/2020;6
Breda                         ;11/11/2020;5
Den Bosch                     ;11/11/2020;4
Eindhoven                     ;11/11/2020;9
Haaglanden                    ;11/11/2020;4
Kempenland                    ;11/11/2020;7
Midden Limburg                ;11/11/2020;3
Midden Nederland              ;11/11/2020;13
Nijmegen                      ;11/11/2020;1
NOORD                         ;11/11/2020;1
Ondernemersgebied             ;11/11/2020;8
Rotterdam                     ;11/11/2020;5
Tilburg                       ;11/11/2020;6
Twente/Achterhoek             ;11/11/2020;2
Veluwe-IJssel                 ;11/11/2020;1
West Brabant/Zeeland          ;11/11/2020;8
Zuid Limburg                  ;11/11/2020;6
Arnhem                        ;10/11/2020;6
Breda                         ;10/11/2020;4
Den Bosch                     ;10/11/2020;5
Eindhoven                     ;10/11/2020;5
Haaglanden                    ;10/11/2020;6
Kempenland                    ;10/11/2020;3
Midden Limburg                ;10/11/2020;7
Midden Nederland              ;10/11/2020;10
Nijmegen                      ;10/11/2020;13
NOORD                         ;10/11/2020;2
Ondernemersgebied             ;10/11/2020;11
Oost Brabant                  ;10/11/2020;2
Rotterdam                     ;10/11/2020;6
Tilburg                       ;10/11/2020;2
Twente/Achterhoek             ;10/11/2020;5
Veluwe-IJssel                 ;10/11/2020;4
West Brabant/Zeeland          ;10/11/2020;7
Zuid Limburg                  ;10/11/2020;1
Arnhem                        ;09/11/2020;6
Breda                         ;09/11/2020;5
Den Bosch                     ;09/11/2020;7
Eindhoven                     ;09/11/2020;5
Haaglanden                    ;09/11/2020;4
Kempenland                    ;09/11/2020;8
Midden Limburg                ;09/11/2020;2
Midden Nederland              ;09/11/2020;14
Nijmegen                      ;09/11/2020;6
NOORD                         ;09/11/2020;2
Ondernemersgebied             ;09/11/2020;9
Oost Brabant                  ;09/11/2020;5
Rotterdam                     ;09/11/2020;5
Tilburg                       ;09/11/2020;8
Twente/Achterhoek             ;09/11/2020;5
Veluwe-IJssel                 ;09/11/2020;6
West Brabant/Zeeland          ;09/11/2020;6
Zuid Limburg                  ;09/11/2020;5
Arnhem                        ;08/11/2020;7
Breda                         ;08/11/2020;10
Den Bosch                     ;08/11/2020;2
Eindhoven                     ;08/11/2020;8
Haaglanden                    ;08/11/2020;6
Kempenland                    ;08/11/2020;6
Midden Limburg                ;08/11/2020;3
Midden Nederland              ;08/11/2020;8
Nijmegen                      ;08/11/2020;9
Ondernemersgebied             ;08/11/2020;14
Oost Brabant                  ;08/11/2020;4
Rotterdam                     ;08/11/2020;7
Tilburg                       ;08/11/2020;9
Twente/Achterhoek             ;08/11/2020;5
Veluwe-IJssel                 ;08/11/2020;2
West Brabant/Zeeland          ;08/11/2020;5
Zuid Limburg                  ;08/11/2020;4
Arnhem                        ;07/11/2020;3
Breda                         ;07/11/2020;8
Den Bosch                     ;07/11/2020;11
Eindhoven                     ;07/11/2020;7
Haaglanden                    ;07/11/2020;4
Kempenland                    ;07/11/2020;7
Midden Limburg                ;07/11/2020;5
Midden Nederland              ;07/11/2020;6
Nijmegen                      ;07/11/2020;5
NOORD                         ;07/11/2020;1
Ondernemersgebied             ;07/11/2020;10
Oost Brabant                  ;07/11/2020;2
Rotterdam                     ;07/11/2020;3
Tilburg                       ;07/11/2020;3
Twente/Achterhoek             ;07/11/2020;5
Veluwe-IJssel                 ;07/11/2020;1
West Brabant/Zeeland          ;07/11/2020;6
Zuid Limburg                  ;07/11/2020;6
Arnhem                        ;06/11/2020;4
Breda                         ;06/11/2020;4
Den Bosch                     ;06/11/2020;6
Eindhoven                     ;06/11/2020;7
Haaglanden                    ;06/11/2020;3
Kempenland                    ;06/11/2020;8
Midden Limburg                ;06/11/2020;3
Midden Nederland              ;06/11/2020;5
Nijmegen                      ;06/11/2020;7
NOORD                         ;06/11/2020;2
Ondernemersgebied             ;06/11/2020;13
Oost Brabant                  ;06/11/2020;4
Rotterdam                     ;06/11/2020;7
Tilburg                       ;06/11/2020;6
Twente/Achterhoek             ;06/11/2020;7
Veluwe-IJssel                 ;06/11/2020;4
West Brabant/Zeeland          ;06/11/2020;4
Zuid Limburg                  ;06/11/2020;5
Arnhem                        ;05/11/2020;2
Breda                         ;05/11/2020;8
Den Bosch                     ;05/11/2020;10
Eindhoven                     ;05/11/2020;7
Haaglanden                    ;05/11/2020;5
Kempenland                    ;05/11/2020;4
Midden Limburg                ;05/11/2020;4
Midden Nederland              ;05/11/2020;7
Nijmegen                      ;05/11/2020;7
NOORD                         ;05/11/2020;6
Ondernemersgebied             ;05/11/2020;13
Oost Brabant                  ;05/11/2020;7
Rotterdam                     ;05/11/2020;7
Tilburg                       ;05/11/2020;5
Twente/Achterhoek             ;05/11/2020;4
West Brabant/Zeeland          ;05/11/2020;6
Zuid Limburg                  ;05/11/2020;9
Arnhem                        ;04/11/2020;12
Breda                         ;04/11/2020;2
Den Bosch                     ;04/11/2020;6
Eindhoven                     ;04/11/2020;3
Haaglanden                    ;04/11/2020;2
Kempenland                    ;04/11/2020;6
Midden Limburg                ;04/11/2020;6
Midden Nederland              ;04/11/2020;6
Nijmegen                      ;04/11/2020;2
