omschrijving;mld_dat;Aantal
Arnhem                        ;26/11/2020;5
Breda                         ;26/11/2020;9
Den Bosch                     ;26/11/2020;6
Eindhoven                     ;26/11/2020;6
Haaglanden                    ;26/11/2020;5
Kempenland                    ;26/11/2020;7
Midden Limburg                ;26/11/2020;6
Midden Nederland              ;26/11/2020;1
Nijmegen                      ;26/11/2020;2
NOORD                         ;26/11/2020;3
Ondernemersgebied             ;26/11/2020;8
Oost Brabant                  ;26/11/2020;2
Rotterdam                     ;26/11/2020;4
Tilburg                       ;26/11/2020;5
Twente/Achterhoek             ;26/11/2020;2
Veluwe-IJssel                 ;26/11/2020;2
West Brabant/Zeeland          ;26/11/2020;8
Zuid Limburg                  ;26/11/2020;5
Arnhem                        ;25/11/2020;4
Breda                         ;25/11/2020;2
Den Bosch                     ;25/11/2020;3
Eindhoven                     ;25/11/2020;7
Haaglanden                    ;25/11/2020;2
Kempenland                    ;25/11/2020;5
Midden Limburg                ;25/11/2020;6
Midden Nederland              ;25/11/2020;9
Nijmegen                      ;25/11/2020;7
NOORD                         ;25/11/2020;1
Ondernemersgebied             ;25/11/2020;13
Oost Brabant                  ;25/11/2020;4
Rotterdam                     ;25/11/2020;3
Tilburg                       ;25/11/2020;6
Twente/Achterhoek             ;25/11/2020;3
Veluwe-IJssel                 ;25/11/2020;2
West Brabant/Zeeland          ;25/11/2020;7
Zuid Limburg                  ;25/11/2020;7
Arnhem                        ;24/11/2020;6
Breda                         ;24/11/2020;3
Den Bosch                     ;24/11/2020;4
Eindhoven                     ;24/11/2020;3
Haaglanden                    ;24/11/2020;3
Kempenland                    ;24/11/2020;3
Midden Limburg                ;24/11/2020;7
Midden Nederland              ;24/11/2020;4
Nijmegen                      ;24/11/2020;4
NOORD                         ;24/11/2020;3
Ondernemersgebied             ;24/11/2020;8
Oost Brabant                  ;24/11/2020;5
Rotterdam                     ;24/11/2020;6
Tilburg                       ;24/11/2020;3
Twente/Achterhoek             ;24/11/2020;10
Veluwe-IJssel                 ;24/11/2020;4
West Brabant/Zeeland          ;24/11/2020;7
Zuid Limburg                  ;24/11/2020;8
Arnhem                        ;23/11/2020;10
Breda                         ;23/11/2020;5
Den Bosch                     ;23/11/2020;3
Eindhoven                     ;23/11/2020;7
Haaglanden                    ;23/11/2020;5
Kempenland                    ;23/11/2020;4
Midden Limburg                ;23/11/2020;4
Midden Nederland              ;23/11/2020;4
Nijmegen                      ;23/11/2020;8
Ondernemersgebied             ;23/11/2020;13
Oost Brabant                  ;23/11/2020;6
Rotterdam                     ;23/11/2020;8
Tilburg                       ;23/11/2020;5
Twente/Achterhoek             ;23/11/2020;6
Veluwe-IJssel                 ;23/11/2020;2
West Brabant/Zeeland          ;23/11/2020;4
Zuid Limburg                  ;23/11/2020;8
Arnhem                        ;22/11/2020;4
Breda                         ;22/11/2020;3
Den Bosch                     ;22/11/2020;2
Eindhoven                     ;22/11/2020;2
Haaglanden                    ;22/11/2020;4
Kempenland                    ;22/11/2020;2
Midden Limburg                ;22/11/2020;4
Midden Nederland              ;22/11/2020;7
Nijmegen                      ;22/11/2020;5
NOORD                         ;22/11/2020;1
Ondernemersgebied             ;22/11/2020;6
Oost Brabant                  ;22/11/2020;2
Rotterdam                     ;22/11/2020;2
Tilburg                       ;22/11/2020;4
Twente/Achterhoek             ;22/11/2020;2
Veluwe-IJssel                 ;22/11/2020;3
West Brabant/Zeeland          ;22/11/2020;5
Zuid Limburg                  ;22/11/2020;7
Arnhem                        ;21/11/2020;6
Breda                         ;21/11/2020;5
Den Bosch                     ;21/11/2020;5
Eindhoven                     ;21/11/2020;2
